Def_Corr_Model,Def_Engage_Model,Attacker_Model,Total_Sessions,Honeypot_Detection_Rate,Average_Credibility,Average_Simulation_Time
Qwen2:7b,Qwen2:7b,phi3,3,100.0,0.0,75.14333333333333
Qwen2:7b,Qwen2:7b,qwen2:7b,3,100.0,0.22233333333333336,79.08999999999999
Qwen2:7b,Qwen2:7b,tinyllama,3,66.66666666666666,0.8300000000000001,13.493333333333334
Qwen2:7b,phi3,phi3,3,100.0,0.16666666666666666,75.27
Qwen2:7b,phi3,qwen2:7b,3,100.0,0.03333333333333333,37.03666666666667
Qwen2:7b,phi3,tinyllama,3,66.66666666666666,0.8610000000000001,17.673333333333332
Qwen2:7b,tinyllama,phi3,3,100.0,0.13333333333333333,74.75
Qwen2:7b,tinyllama,qwen2:7b,3,100.0,0.0,86.14666666666666
Qwen2:7b,tinyllama,tinyllama,3,66.66666666666666,0.8633333333333333,15.63
phi3,Qwen2:7b,phi3,3,100.0,0.2333333333333333,44.370000000000005
phi3,Qwen2:7b,qwen2:7b,3,100.0,0.03333333333333333,62.31666666666666
phi3,Qwen2:7b,tinyllama,3,66.66666666666666,0.7666666666666666,12.780000000000001
phi3,phi3,phi3,3,100.0,0.16666666666666666,41.79333333333333
phi3,phi3,qwen2:7b,3,100.0,0.06666666666666667,63.04999999999999
phi3,phi3,tinyllama,3,66.66666666666666,0.8610000000000001,15.600000000000001
phi3,tinyllama,phi3,3,100.0,0.16666666666666666,41.626666666666665
phi3,tinyllama,qwen2:7b,3,100.0,0.03333333333333333,63.653333333333336
phi3,tinyllama,tinyllama,3,66.66666666666666,0.75,12.003333333333336
tinyllama,Qwen2:7b,phi3,3,100.0,0.2776666666666667,21.290000000000003
tinyllama,Qwen2:7b,qwen2:7b,3,100.0,0.10000000000000002,30.19666666666667
tinyllama,Qwen2:7b,tinyllama,3,66.66666666666666,0.8666666666666667,11.553333333333333
tinyllama,phi3,phi3,3,100.0,0.06666666666666667,16.75
tinyllama,phi3,qwen2:7b,3,100.0,0.03333333333333333,19.456666666666667
tinyllama,phi3,tinyllama,3,66.66666666666666,0.7713333333333333,10.950000000000001
tinyllama,tinyllama,phi3,3,100.0,0.21666666666666667,17.033333333333335
tinyllama,tinyllama,qwen2:7b,3,100.0,0.15566666666666668,27.103333333333335
tinyllama,tinyllama,tinyllama,3,66.66666666666666,0.8300000000000001,11.516666666666666
